標題/社區,地址,價格,坪數,房型,樓層,建物類型
宏盛海都 2期,淡水區-新市三路二段,12000,12.2,真大正對面5樓木地板套房,,
關渡大國二期,淡水區-民族路31巷,5000,8,獨立套房,頂樓加蓋/5F,
頂樓加蓋/5F,淡水區-新民街178號,25000,34.4,,,
淡江豪景,淡水區-沙崙路,31000,27.1,,,
豪斯登堡,淡水區-中山北路二段,25000,37.2,,,
天琴,淡水區-濱海路二段202巷65弄,27000,37.2,,,
川普G3棧,淡水區-淡金路一段,26500,21.4,,,
灣頂,淡水區-淡金路二段,25000,18.5,,,
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,25000,,,,
宏盛水悅,淡水區-新市三路,29000,31,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,25000,35,,,
尚海,淡水區-淡金路,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
淡水幸福城,淡水區-學府路,7000,7,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,90000,80,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,18000,6,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,3000,6,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,20000,21.5,,,
大旭地,淡水區-北新路一段,72000,57,,,
淡大溫哥華,淡水區-水源街二段,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,20800,28,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
台北灣-江南大宅,淡水區-沙崙路一段,26000,45,✨可租補✨五分鐘到淡大文學館小套房✨,,
宏盛海都 2期,淡水區-新市三路二段,4600,5,✨免服務費✨可租補超美套房✨,,
5F/5F,淡水區-北新路136巷5弄,12000,21,獨立套房,,
宏英加州大樓,淡水區-新春街126巷,26000,37,近真理大學｜寵物友善可租補｜雙人套房,,
日月星辰,淡水區-濱海路一段306巷9弄,7000,5,分租套房,MVP社宅可租補/普羅旺斯高樓極品格局精裝山景兩房,
3F/5F,淡水區-新民街152巷6弄,22800,21.3,,MVP社宅可租補/普羅旺斯高樓極品格局精裝山景兩房,
普羅旺斯,淡水區-新市一路三段,11000,7.8,獨立套房,,捷運佰萬裝潢公寓二樓三房
淡大財庫,淡水區-學府路136巷,20000,27.3,,,捷運佰萬裝潢公寓二樓三房
2F/5F,淡水區-平遠街,22000,23.8,A+淡大首選~分租套房可租補,,
秀山莊,淡水區-中正東路二段143巷12弄,5000,4,分租套房,,
4F/5F,淡水區-學府路205巷1弄,20000,14.9,,,
淡水小城,淡水區-學府路136巷,27000,35,,,近捷運生活機能佳~全新裝潢公寓2房
海天DEFG棟,淡水區-八勢一街63巷46號,22000,22.2,,,近捷運生活機能佳~全新裝潢公寓2房
2F/3F,淡水區-英專路28巷2弄,24000,12.3,,,
宏普樂高,淡水區-新市二路一段,22000,16.2,,,
宏盛海都 2期,淡水區-新市三路二段,28000,17.9,,,
將捷之森,淡水區-淡金路二段,26000,25.8,⭐淡江捷森堡庭園漂亮套房⭐拎包入住,,
翡冷翠,淡水區-淡金路38巷106號,16800,7.2,獨立套房,,
淡大捷森堡,淡水區-學府路136巷100號,25000,19.1,,,
海洋都心,淡水區-新市五路三段,24000,19.2,,,
海洋都心,淡水區-新市五路三段,21000,34,,,
新民街76巷華廈,淡水區-新民街76巷,26000,19.2,超優質面山觀海高樓層套房,,
台北灣-江南大宅,淡水區-沙崙路一段,7500,7,獨立套房,,
海景天下一,淡水區-大忠街85號,22000,24,,,
書香大第,淡水區-新興街,22000,24,,,
書香大第,淡水區-新興街,21000,15,,,
歡喜自在,淡水區-新市一路三段,25000,29,商圈取靜獨立套房台水電,,
摩納哥,淡水區-淡金路38巷,8000,8.4,水源4套房/4衛-合租公司宿舍可,,
無,淡水區-北新路169巷69弄,18000,23.7,水源4套房/4衛-合租公司宿舍可,,
.,淡水區-水源街一段15巷,18000,,,,
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,6000,5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,
淡大溫哥華,淡水區-水源街二段,20800,28,,,
鄉林山海匯,淡水區-八勢路,20000,21.5,,,
淡水幸福城,淡水區-學府路,29000,31,,,
尚海,淡水區-淡金路,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,18000,35,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,7000,7,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,3000,6,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
富麗欣,淡水區-濱海路二段,8900,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
海洋都心No.3 Ocean city,淡水區-新市三路二段,15300,19.1,,,
.,淡水區-水源街一段15巷,26000,36.3,🍀(限學生)近淡江大學｜北新路優質獨立套房,,
將捷之森,淡水區-淡金路二段,6000,5,獨立套房,,
淡江風華,淡水區-北新路169巷69弄,70000,87.6,,,
藍海,淡水區-中正東路二段,20000,27.3,,,
2F/5F,淡水區-平遠街,30000,27,,,可租補Ｉ家電齊全Ｉ西恩那優質社區
靜江悅,淡水區-中山北路二段188巷,23000,19,,,可租補Ｉ家電齊全Ｉ西恩那優質社區
西恩那,淡水區-坪頂路52巷,29000,13.7,,,{免收服務費可租補}淡江大學友情公寓家庭式4房2廳2衛D7A
心航線,淡水區-文化路,32000,6,獨立套房,,{免收服務費可租補}淡江大學友情公寓家庭式4房2廳2衛D7A
4F/5F,淡水區-北新路,15000,8,獨立套房,,
4F/5F,淡水區-學府路,15000,8,獨立套房,,
4F/5F,淡水區-學府路,5334,9,獨立套房,,
5F/5F,淡水區-新民街178號,25000,45.2,,,
天琴,淡水區-濱海路二段202巷65弄,18000,27,,,莎莎推薦🎀名峰天下｜3房2廳2衛電梯大樓出租💎
4F/5F,淡水區-坪頂路,33000,26.9,,,莎莎推薦🎀名峰天下｜3房2廳2衛電梯大樓出租💎
名峰天下,淡水區-自強路128巷,26000,32,捷運溫泉海景高樓層豪華小套房24H管,,
宏普有逸天,淡水區-新市二路一段76號,17000,16,獨立套房,,
清淞,淡水區-淡金路,23000,19,,,
西恩那,淡水區-坪頂路,24000,36.9,,,
台北灣-江南大宅,淡水區-沙崙路一段,24000,,,,
