標題/社區,地址,價格,坪數,房型,樓層,建物類型
2F/5F,淡水區-新民街53巷,11500,8,👑淡大財庫稀有大坪數全新滾筒洗衣機家具獨立套房可以租❗❗❗,,
5F/5F,淡水區-英專路,13000,8,獨立套房,,
淡大財庫,淡水區-學府路136巷,11000,6,獨立套房,,
1F/5F,淡水區-學府路205巷1弄,6800,6,分租套房,,
4F/5F,淡水區-新民街226巷16號,5500,4,分租套房,,
2F/3F,淡水區-水源街二段,24000,17.5,,,
新品苑,淡水區-新市三路一段,28000,22.3,,,
甜水郡名人湯,淡水區-濱海路一段306巷,21000,34.6,,,
海洋都心2,淡水區-新市三路二段,52000,64.4,,,
水紀元,淡水區-民權路,28000,25.3,,,
天琴,淡水區-濱海路二段202巷65弄,28000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,18000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,29000,31,,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,32000,46.5,,宏盛水悅/高樓層三房/平面車位/前後陽台,
尚海,淡水區-淡金路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,1900,12,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,,台北GOGO社區近竹圍捷運站車位出租
海洋都心No.3 Ocean city,淡水區-新市三路二段,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,20000,21.5,,,
海天DEFG棟,淡水區-八勢一街,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,72000,57,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心3,淡水區-新市五路三段,20800,28,,,
鄉林山海匯,淡水區-八勢路,25000,35,,,
淡水幸福城,淡水區-學府路,25000,25,,,
淡大溫哥華,淡水區-水源街二段,19960,20,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
大旭地,淡水區-北新路一段,3000,6,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,13600,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,8900,8,,,
宏盛蒙德里安,淡水區-沙崙路一段126巷,8500,10.5,僅限女性套房一卡皮箱即可入住,,
海景天下二期大樓區,淡水區-大忠街,9000,9,獨立套房,,
真理學院大樓,淡水區-新生街15號,5500,5,分租套房,,
5F/5F,淡水區-大忠街123號,26000,19.1,,,
台北灣-江南大宅,淡水區-沙崙路一段,5000,5,(重新開放)免仲介費，金房東電梯獨立套房，近淡江大學,,
2F/5F,淡水區-新民街152巷6弄8號,7500,6.3,獨立套房,,
金房東,淡水區-學府路205巷6號,26000,41.4,,,
黛安娜大樓,淡水區-新春街,47999,63.4,,,
整棟/3F,淡水區-興福寮66巷,17000,17.4,,頂樓加蓋/4F,泰隆社區
泰隆社區,淡水區-鄧公路30巷2弄,2000,1,獨立套房,,
寶鏵江山,淡水區-北新路141巷26號,26000,51,,,
聯園璞玉/聯園樸麗,淡水區-新市一路一段99巷,8500,10.6,獨立套房,,
5F/5F,淡水區-新民街180巷7弄,22500,25,,,
W丰上,淡水區-中山北路三段31巷,16000,12.7,獨立套房,,
關渡山水,淡水區-民權路,6000,5,分租套房,,
2F/5F,淡水區-新民街53巷,52000,64.4,,,
水紀元,淡水區-民權路,22000,14,,,
漫活時代1,淡水區-竿蓁街,11000,9.7,笑傲江河商務套房有大陽台免仲介費可租補,,
笑傲江河,淡水區-北新路169巷,17000,22,,,
好旺角海景,淡水區-新民街120巷,18000,26,,,
笑傲江河,淡水區-北新路169巷87號,28000,37.3,,,
台北灣-江南大宅,淡水區-沙崙路一段,11000,5.1,,,
1F/5F,淡水區-學府路205巷1弄,30000,53.9,,,
宏盛水悅,淡水區-新市三路一段,7500,4,分租套房,,
1F/4F,淡水區-自強路337巷47號,6500,6,分租套房,,
4F/6F,淡水區-水源街二段,24000,34.6,,,
宏盛水悅,淡水區-新市三路一段,21000,22.9,,,✨鄰近竹圍捷運2樓公寓大使用空間大✨
2F/4F,淡水區-民權一街17巷,15000,12,,,
7F/7F,淡水區-淡海路189巷,33000,46.7,,,
台北灣一期星海灣大樓區,淡水區-新民街一段,33000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
大旭地,淡水區-北新路一段,25000,35,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,近關渡竹圍捷運馬偕醫院旁別墅社區套房
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,8900,8,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
淡水幸福城,淡水區-學府路,19960,20,近關渡竹圍捷運馬偕醫院旁別墅社區套房,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
近關渡竹圍捷運馬偕醫院旁別墅社區套房,淡水區-民族路,20800,28,,,寵物可貓♥︎可租補♥︎台水台電♥富麗欣♥電梯大樓♥濱海沙崙
富麗欣,淡水區-濱海路二段,3000,6,,,
海洋都心3,淡水區-新市五路三段,29000,31,,,
馬偕醫院5分鐘.室內平面車位,淡水區-大同路,13600,18,,,
尚海,淡水區-淡金路,72000,57,,,
淡水捷運5分鐘溫馨一房一廳,淡水區-鄧公路,6000,5,,,
鄉林山海匯,淡水區-八勢路,18000,35,,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡大溫哥華,淡水區-水源街二段,32000,46.5,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
淡江大學步行2分鐘|淡大|大田寮|紅27公車總站|體育館可貓,淡水區-學府路,15300,18,【免仲介費】可養寵｜海都3｜中型套房🉑️開火🉑️租補,宏盛水悅/高樓層三房/平面車位/前後陽台,
宏盛水悅,淡水區-新市三路,13900,17,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,
海洋都心No.3 Ocean city,淡水區-新市三路二段,20000,21.5,【免仲介費】海都3｜標準套房🉑️開伙｜獨立陽台🉑️租補,,台北GOGO社區近竹圍捷運站車位出租
海洋都心3,淡水區-新市五路三段,1900,12,,,台北GOGO社區近竹圍捷運站車位出租
海天DEFG棟,淡水區-八勢一街,90000,80,,,台北GOGO社區近竹圍捷運站車位出租
台北GOGO,淡水區-民權路,25000,25,,,
大旭地,淡水區-北新路一段,7000,7,,,
仁愛街近英專路優質美套，租金含公用水電,淡水區-仁愛街,7000,7,,,
依現場社區名稱,淡水區-淡海路189巷,6000,6,分租套房,,
4F/5F,淡水區-新生街108巷,7000,5.5,分租套房,,
2F/6F,淡水區-學府路205巷1弄,32000,42.7,,,
水天靚2,淡水區-沙崙路,25000,22.7,,,
宏盛海都 2期,淡水區-新市三路二段,26000,17.5,,,
新品苑,淡水區-新市三路一段,26000,32.8,,,
富庭峰築家,淡水區-沙崙路201巷,28000,31.9,,,
關渡大國二期,淡水區-民族路31巷,29500,25.7,,,
合康嘉年華,淡水區-新市一路一段,16500,21.6,,,
巧克力花園,淡水區-水源街二段177巷,15000,16.1,獨立套房,,
清淞,淡水區-淡金路,11000,8,飯店式全新獨立衛浴套房、靠近淡江大學,,
5F/5F,淡水區-新民街63巷2號,9500,6.5,獨立套房,,
3F/4F,淡水區-北投子路87號,5700,6,獨立套房,,
5F/5F,淡水區-水源街二段92巷,22500,15.9,,,
南加州,淡水區-民權路,13000,10,獨立套房,,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位
摩天31,淡水區-中山北路一段,85000,67.4,,,台灣朗居浩庭【台北|萬通國際社區】租金含管含稅含2車位
萬通國際/ 陽明悅活,淡水區-興福寮88巷,21000,21.5,,,
戀戀山海,淡水區-沙崙路,22000,28.1,,,
宏盛海都 2期,淡水區-新市三路二段,24000,27,🐻MVP社宅∥可租補∥近淡大機能佳套房,,
鴻灃青,淡水區-濱海路一段306巷60弄,6500,7,🐻MVP社宅∥可租補∥翰林館學生套房,,
4F/5F,淡水區-北新路182巷41弄,6300,6,🐻MVP社宅∥可租補∥金房東獨立套房,,
翰林館,淡水區-北新路182巷5弄,7000,5,獨立套房,,金房東社區
金房東社區,淡水區-水源街二段74巷,38000,35,淡江有約大套房,,
海德公園,淡水區-中山北路二段381巷,9800,10,獨立套房,,
淡江有約,淡水區-淡金路一段537號,55000,81.2,,,
學府華廈,淡水區-學府路,23000,34.9,,,
名軒海樂地,淡水區-沙崙路二段831號,23000,27.2,,,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談
鴻灃青,淡水區-濱海路一段306巷60弄,6000,8,分租套房,,紅樹林捷運♡淡水捷運♡公寓2樓♡寵可談
2F/4F,淡水區-中正東路一段,6000,8,分租套房,,
無,淡水區-大忠街79號,6000,,,,熟悉社區：新巨蛋、金世紀錄大樓、馥華時尚會館、漢江春曉、巨蛋東京花園廣場、翔譽天心大樓、新巨蛋、鑑築
淡大溫哥華,淡水區-水源街二段,72000,57,,,台北GOGO社區近竹圍捷運站車位出租
